esp_id;ini;int;ava
alcgla;0.0061349693;0.0076628352;0
alctri;0.0153374233;0.0191570881;0.0227272727
amogui;0;0.0191570881;0.0340909091
bro;0;0.0076628352;0
brogla;0;0;0.0189393939
byrlig;0;0;0.0037878788
cabcaj;0;0.0191570881;0
casdec;0.0030674847;0;0
cassyl;0.0398773006;0.0114942529;0.0113636364
cecpac;0;0.0153256705;0
coptra;0;0;0.0075757576
cosspi;0.1380368098;0;0
coumic;0.0061349693;0.0153256705;0.0037878788
cryasc;0;0;0.0075757576
cupobl;0.018404908;0.0076628352;0.0113636364
dolsch;0.0030674847;0;0.0075757576
eugsul;0;0;0.0113636364
eutedu;0.0122699387;0;0.0340909091
ficorg;0.0030674847;0.0229885057;0
geogam;0;0;0.1022727273
guaopp;0;0.0421455939;0
guamac;0.0030674847;0;0
hedcor;0.027607362;0;0
hedbra;0.0061349693;0;0
heisil;0;0.0038314176;0.0075757576
hyealc;0.0245398773;0.0229885057;0.0037878788
ile;0.0245398773;0;0
lau;0.0030674847;0;0
leaaur;0.0490797546;0.0229885057;0
leaaus;0.0153374233;0;0
leadas;0.0122699387;0.061302682;0.0113636364
learev;0.027607362;0;0.0303030303
lia1;0.0030674847;0.0114942529;0
lia2;0;0.0076628352;0
mapbra;0;0.0076628352;0.0075757576
mayala;0;0;0.0037878788
may;0;0;0.0075757576
miccab;0.0122699387;0.0191570881;0
miccin;0.1441717791;0;0
micnna;0.018404908;0.0038314176;0
miccub;0;0.0383141762;0.0681818182
micdod;0.027607362;0;0
micrig;0.0122699387;0;0.0075757576
micsel;0.027607362;0;0
mic1;0;0;0.0378787879
mic2;0;0;0.0113636364
moltri;0;0.0153256705;0
monada;0.0122699387;0.0536398467;0.0378787879
morf1;0;0;0.0075757576
morf2;0;0.0038314176;0
morf3;0;0;0.0075757576
morf4;0;0.0038314176;0
morf5;0;0;0.0113636364
morf6;0;0;0.0075757576
moucha;0;0.0229885057;0
myrgla;0;0.0114942529;0.0340909091
myrspe;0.0030674847;0;0.0075757576
myrspl;0.018404908;0.0153256705;0
myrcor;0.0613496933;0.0038314176;0
myr1;0.009202454;0.0153256705;0
myrt1;0;0;0.0265151515
myrt2;0;0;0.0037878788
myrt3;0;0;0.0151515152
necmem;0.0122699387;0.0076628352;0
neesch;0.0030674847;0;0.0151515152
ocotel;0.0030674847;0.0076628352;0.0151515152
ourpar;0;0;0.0189393939
pergla;0.0736196319;0;0
pipgau;0.0153374233;0.0191570881;0.0113636364
pip2;0.0122699387;0;0
pleble;0;0;0.0113636364
pougui;0;0;0.0075757576
prokle;0;0.0038314176;0
psycar;0.0122699387;0.0076628352;0.0037878788
psygra;0.0122699387;0.0114942529;0.0189393939
psyhol;0.0061349693;0.0076628352;0
psynud;0.0214723926;0.0421455939;0.0568181818
psy1;0.0030674847;0.0038314176;0
psysut;0;0.0268199234;0
rhi;0;0;0.0643939394
rubi1;0;0;0.0037878788
rubi2;0.0153374233;0.0114942529;0
rubi3;0.0030674847;0.0114942529;0
rudjas;0;0.0421455939;0.0151515152
schang;0.0061349693;0.0038314176;0
schmor;0.0030674847;0;0.0075757576
smi;0.0030674847;0.0038314176;0
strton;0.0030674847;0.0038314176;0
urebac;0.0030674847;0;0
virbic;0;0;0.0151515152
